,SAT01,SAT10,SAT11,SAT12,SAT13,SAT14,SAT15,SAT16,SAT17,SAT18,SAT19,SAT02,SAT20,SAT21,SAT22,SAT23,SAT24,SAT25,SAT26,SAT27,SAT28,SAT29,SAT03,SAT30,SAT31,SAT32,SAT33,SAT34,SAT35,SAT36,SAT37,SAT38,SAT39,SAT04,SAT40,SAT41,SAT42,SAT05,SAT06,SAT07,SAT08,SAT09
Otu465,0,0,1,0,1,0,19,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,0,0,1
Otu1135,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0,2,2,1,0,6,0,0,0,0,3,0,1,0,0,0
Otu2981,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Otu116,5,15,15,13,16,22,4,12,20,15,18,30,22,17,16,20,14,7,10,21,11,9,8,38,13,5,4,7,6,7,12,7,6,27,7,3,5,19,19,24,10,19
Otu1776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0
Otu1788,0,0,3,0,1,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Otu983,0,0,1,1,0,1,3,0,2,0,1,3,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
Otu1409,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0
Otu1781,0,3,1,1,2,1,0,1,8,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,2
Otu43,3,10,12,4,23,3,3,13,4,3,4,11,6,222,1,8,3,4,0,8,6,5,3,4,4,1,21,2,4,6,8,0,32,3,5,7,2,6,2,9,4,10
Otu736,0,4,1,2,2,6,1,3,1,3,0,0,0,2,5,2,1,0,1,0,2,0,0,0,1,0,2,1,0,4,0,1,0,9,5,4,0,0,0,3,5,1
Otu2246,4,4,0,1,0,2,0,0,11,0,3,0,1,0,1,0,5,0,4,3,3,5,13,1,3,1,1,4,1,0,0,5,4,6,2,0,1,0,1,0,1,2
Otu505,3,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,3,0,1,0,1,0,0,0,7,2,2,10,6,1,15,2,1,6,0,16,0,0,0,1,0
Otu3281,2,6,6,1,5,9,2,8,1,4,1,1,0,0,4,2,3,0,1,1,2,2,3,5,3,1,1,0,0,1,4,2,1,2,0,13,7,1,1,3,13,8
Otu1143,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
Otu1794,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,4,0,4,0,6,0,0,0,2,6,2,0,1,0,0,0
Otu542,5,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,2,10,3,2,3,14,3,2,8,5,4,1,4,7,4,9,1,0,6,0,11,1,0,0,0,1
Otu3215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu1790,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0
Otu2802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Otu947,0,5,3,3,0,1,0,3,2,0,0,0,0,0,4,5,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,3,0,1,1,0,1,2,17,9
Otu3129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu16,77,29,8,2,7,1,10,12,29,46,35,4,29,14,31,31,49,47,33,68,100,55,48,26,38,38,28,39,31,46,15,27,9,11,20,18,39,8,2,6,15,37
Otu1187,0,5,0,0,0,0,0,0,1,1,2,1,3,1,0,0,2,1,4,6,4,1,0,1,2,0,6,0,0,4,0,0,1,0,1,8,0,2,0,0,0,3
Otu2677,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1,1,2,1,1,0,0,0,0,0,1,1,2,0,0,5,0,0,0,1,0,0,0,0,1
Otu544,0,2,5,2,3,3,5,3,1,3,0,9,2,2,0,0,0,1,1,0,0,0,0,1,1,1,1,2,0,0,0,1,0,7,0,0,0,1,10,3,0,5
Otu536,3,17,21,2,9,1,7,6,1,6,10,5,7,9,7,8,5,0,1,4,3,5,2,4,1,0,2,3,1,23,0,1,19,14,2,0,0,8,13,4,16,26
Otu3066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0
Otu1037,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0
Otu683,1,2,2,3,3,10,1,6,2,1,0,1,2,1,3,2,1,0,0,1,0,0,0,0,1,0,0,0,1,2,0,0,3,2,2,2,1,2,2,7,9,7
Otu1716,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,1,0,1,2,0,0,0,1,0
Otu341,1,9,57,0,0,0,0,2,0,2,21,35,17,2,1,6,1,1,4,0,2,1,1,4,3,0,0,1,0,1,0,3,2,4,1,2,0,35,0,1,0,5
Otu2267,0,1,0,3,5,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2
Otu1956,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0
Otu2404,0,3,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,3
Otu285,1,2,30,4,0,0,1,1,0,0,3,23,0,2,0,4,1,0,1,1,0,0,0,4,0,0,0,2,0,3,0,0,0,5,0,1,0,40,24,1,0,2
Otu767,11,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,4,4,1,0,4,6,0,0,2,0,2,2,9,0,2,4,0,5,0,3,0,0,1,0,1
Otu35,2,21,9,4,27,20,2,42,2,6,6,8,19,9,21,17,16,6,3,11,6,2,5,2,7,6,2,2,1,5,4,0,1,30,0,2,1,2,5,29,77,31
Otu2813,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,13,0,0,1,0,1,0,0,0,0
Otu2040,0,2,0,0,0,0,0,1,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0
